"","ImageNumber","ObjectNumber","Metadata_FileLocation","Metadata_FolderName","Metadata_Frame","Metadata_Series","Intensity_IntegratedIntensityEdge_rescalecy5channel","Intensity_IntegratedIntensityEdge_rescaledapichannel","Intensity_IntegratedIntensityEdge_rescalegfpchannel","Intensity_IntegratedIntensityEdge_rescalemcherrychannel","Intensity_IntegratedIntensity_rescalecy5channel","Intensity_IntegratedIntensity_rescaledapichannel","Intensity_IntegratedIntensity_rescalegfpchannel","Intensity_IntegratedIntensity_rescalemcherrychannel","Intensity_LowerQuartileIntensity_rescalecy5channel","Intensity_LowerQuartileIntensity_rescaledapichannel","Intensity_LowerQuartileIntensity_rescalegfpchannel","Intensity_LowerQuartileIntensity_rescalemcherrychannel","Intensity_MADIntensity_rescalecy5channel","Intensity_MADIntensity_rescaledapichannel","Intensity_MADIntensity_rescalegfpchannel","Intensity_MADIntensity_rescalemcherrychannel","Intensity_MassDisplacement_rescalecy5channel","Intensity_MassDisplacement_rescaledapichannel","Intensity_MassDisplacement_rescalegfpchannel","Intensity_MassDisplacement_rescalemcherrychannel","Intensity_MaxIntensityEdge_rescalecy5channel","Intensity_MaxIntensityEdge_rescaledapichannel","Intensity_MaxIntensityEdge_rescalegfpchannel","Intensity_MaxIntensityEdge_rescalemcherrychannel","Intensity_MaxIntensity_rescalecy5channel","Intensity_MaxIntensity_rescaledapichannel","Intensity_MaxIntensity_rescalegfpchannel","Intensity_MaxIntensity_rescalemcherrychannel","Intensity_MeanIntensityEdge_rescalecy5channel","Intensity_MeanIntensityEdge_rescaledapichannel","Intensity_MeanIntensityEdge_rescalegfpchannel","Intensity_MeanIntensityEdge_rescalemcherrychannel","Intensity_MeanIntensity_rescalecy5channel","Intensity_MeanIntensity_rescaledapichannel","Intensity_MeanIntensity_rescalegfpchannel","Intensity_MeanIntensity_rescalemcherrychannel","Intensity_MedianIntensity_rescalecy5channel","Intensity_MedianIntensity_rescaledapichannel","Intensity_MedianIntensity_rescalegfpchannel","Intensity_MedianIntensity_rescalemcherrychannel","Intensity_MinIntensityEdge_rescalecy5channel","Intensity_MinIntensityEdge_rescaledapichannel","Intensity_MinIntensityEdge_rescalegfpchannel","Intensity_MinIntensityEdge_rescalemcherrychannel","Intensity_MinIntensity_rescalecy5channel","Intensity_MinIntensity_rescaledapichannel","Intensity_MinIntensity_rescalegfpchannel","Intensity_MinIntensity_rescalemcherrychannel","Intensity_StdIntensityEdge_rescalecy5channel","Intensity_StdIntensityEdge_rescaledapichannel","Intensity_StdIntensityEdge_rescalegfpchannel","Intensity_StdIntensityEdge_rescalemcherrychannel","Intensity_StdIntensity_rescalecy5channel","Intensity_StdIntensity_rescaledapichannel","Intensity_StdIntensity_rescalegfpchannel","Intensity_StdIntensity_rescalemcherrychannel","Intensity_UpperQuartileIntensity_rescalecy5channel","Intensity_UpperQuartileIntensity_rescaledapichannel","Intensity_UpperQuartileIntensity_rescalegfpchannel","Intensity_UpperQuartileIntensity_rescalemcherrychannel","Location_CenterMassIntensity_X_rescalecy5channel","Location_CenterMassIntensity_X_rescaledapichannel","Location_CenterMassIntensity_X_rescalegfpchannel","Location_CenterMassIntensity_X_rescalemcherrychannel","Location_CenterMassIntensity_Y_rescalecy5channel","Location_CenterMassIntensity_Y_rescaledapichannel","Location_CenterMassIntensity_Y_rescalegfpchannel","Location_CenterMassIntensity_Y_rescalemcherrychannel","Location_Center_X","Location_Center_Y","Location_MaxIntensity_X_rescalecy5channel","Location_MaxIntensity_X_rescaledapichannel","Location_MaxIntensity_X_rescalegfpchannel","Location_MaxIntensity_X_rescalemcherrychannel","Location_MaxIntensity_Y_rescalecy5channel","Location_MaxIntensity_Y_rescaledapichannel","Location_MaxIntensity_Y_rescalegfpchannel","Location_MaxIntensity_Y_rescalemcherrychannel","Number_Object_Number"
"1",1,1,NA,"dt-0.1ug",0,0,51628.6675109863,126104.15133667,241133.778503418,3401.66465997696,543762.27633667,2465515.08480835,2451759.45739746,43591.251614213,216.39501953125,928.520446777344,1017.57499694824,14.394998550415,22,175.5,58,4,0.604802904465005,0.373842614990506,0.573435604185003,1.08090921465974,320.394989013672,1032.5205078125,2028.32495117188,79.3949966430664,364.394989013672,1924.52038574219,2028.32495117188,109.394996643066,227.43906392505,555.524895756255,1062.26334142475,14.9853068721452,239.648425005143,1086.60867554357,1080.54625711655,19.2116578290934,238.39501953125,1113.02056884766,1075.32495117188,17.394998550415,144.39501953125,316.5205078125,823.325012207031,5.39499807357788,144.39501953125,316.5205078125,810.324951171875,1.39499819278717,31.0160926340329,151.240753931745,170.239677128989,7.1086279007721,33.4135305268243,283.277652468181,103.930565523308,9.48817401267838,260.39501953125,1277.2705078125,1134.32495117188,21.394998550415,1355.89931178054,1355.59702224264,1355.86996004268,1356.33381884026,112.212072383819,111.939239884684,112.171442281891,111.857516473679,1355.29660643455,112.16174526223,1364,1361,1390,1380,113,102,117,109,1
"2",1,2,NA,"dt-0.1ug",0,0,108851.060684204,189503.675689697,367848.104858398,217967.062164307,1996481.63265991,4111042.24716187,4584961.90942383,5430322.80999756,671.14501953125,1365.77053833008,1773.32495117188,1803.89492797852,222.999877929688,443.5,265.000122070312,630.5,0.511410328503112,0.529926104157514,0.758517053663711,0.837966828902764,1391.39501953125,3102.5205078125,2764.32495117188,3169.39501953125,2080.39501953125,4386.5205078125,2808.32495117188,4575.39501953125,477.416932825457,831.156472323234,1613.36888095789,955.995886685555,896.489282739071,1846.00011098422,2058.80642542606,2438.4026986967,911.39501953125,1825.0205078125,2135.82507324219,2602.89501953125,210.39501953125,280.5205078125,1031.32507324219,138.39501953125,210.39501953125,280.5205078125,1031.32507324219,138.39501953125,258.162147164625,703.787341410541,394.787257332078,707.97030164647,316.242333286911,760.082924861794,361.462828756832,926.308273375646,1116.39489746094,2252.5205078125,2356.3251953125,3142.39526367188,874.900102577882,875.368360688852,875.154251531732,874.883318815389,190.86098968639,191.25365015474,191.444287577252,190.059078468062,875.392905253704,190.724292770543,887,884,866,881,182,195,210,178,2
"3",1,3,NA,"dt-0.1ug",0,0,76448.1742248535,154558.883422852,328173.634643555,128660.17767334,1154211.72598267,3235041.81585693,3331098.66040039,3033153.81422424,610.394958496094,1584.77059936523,2231.32501220703,1581.64501953125,254.999938964844,857.499938964844,285.5,793,1.65609993286632,1.85963395712278,0.453516042861573,1.98871613740974,1488.39501953125,3872.52075195312,2844.32495117188,3546.39501953125,1862.39501953125,5793.5205078125,3298.3251953125,4534.39501953125,463.322268029415,936.72050559304,1988.93111905185,779.758652565696,867.176353104933,2430.53479778883,2502.70372682223,2278.85335403775,871.39501953125,2346.5205078125,2570.82495117188,2414.89514160156,206.39501953125,272.5205078125,1392.32495117188,86.3950119018555,206.39501953125,272.5205078125,1392.32495117188,86.3950119018555,292.310930920272,883.20357101068,354.397485450993,963.615462568334,346.087973485573,1170.66154389304,398.89650076397,1085.95400714676,1120.64501953125,3378.7705078125,2827.32495117188,3179.39508056641,876.137789213353,875.895894071272,876.841765896623,875.851990266038,228.438385948545,228.3863596707,229.442323437614,228.248602658944,877.220886551465,229.691209616829,871,869,880,873,232,222,229,226,3
"4",1,4,NA,"dt-0.1ug",0,0,177696.007965088,232174.883789062,397642.355712891,21148.009809494,2453332.97131348,4402333.76553345,3723106.76037598,220966.027622223,886.394897460938,1630.5205078125,1536.32495117188,71.3949966430664,194,347.999755859375,89.9998779296875,22,0.682062900854456,0.862883501369679,0.46780824577818,2.62369492859693,1656.39501953125,2494.5205078125,2572.32495117188,966.394897460938,2425.39501953125,3311.5205078125,2572.32495117188,966.394897460938,746.621882206252,975.524721802784,1670.76620047433,88.8571840735043,1077.91431077042,1934.24154900415,1635.81140614059,97.0852493946498,1076.39489746094,2070.52075195312,1623.32507324219,93.3949966430664,285.394989013672,289.520477294922,1317.32507324219,11.394998550415,285.394989013672,289.520477294922,1242.32507324219,11.394998550415,331.772901823991,667.955272323628,251.685540633972,136.869854122393,325.116225090627,620.996091661289,151.999629743933,56.4809281449674,1273.39501953125,2362.5205078125,1714.32495117188,114.395011901855,59.9199124502259,59.417528870954,60.717952281314,58.8309808205134,415.691753998085,416.170960307247,416.12662624956,414.083487521186,60.274165202109,416.27460456942,37,41,94,46,416,414,412,395,4
"5",1,5,NA,"dt-0.1ug",0,0,231198.881774902,175383.049591064,503814.804321289,189975.879951477,8513882.10516357,9087196.60412598,8962620.26757812,9558661.14331818,966.394897460938,1498.52062988281,1708.32495117188,1238.39489746094,589.999877929688,417.999877929688,167.999877929688,759.000122070312,8.6040278557185,2.53184035170524,0.997521406223271,6.19064488426766,3463.39526367188,901.5205078125,1967.32495117188,2371.39526367188,6278.39501953125,3592.5205078125,2580.3251953125,4187.39501953125,672.08977260146,509.834446485653,1464.57791953863,552.255464975224,1773.72543857574,1893.16595919291,1867.21255574544,1991.38773819129,1334.39489746094,1992.52062988281,1873.3251953125,1795.39501953125,182.39501953125,257.520477294922,1072.32495117188,48.3949966430664,182.39501953125,257.520477294922,1072.32495117188,48.3949966430664,543.057237524283,146.751868434731,159.876817683242,519.044502662069,1083.26742391607,651.608643553962,245.091029124197,988.61527268064,2519.39526367188,2358.52075195312,2043.32507324219,2919.39526367188,1197.34322412435,1194.10929612191,1191.56677302346,1187.16089876509,488.763779126593,493.92807394029,496.300954219149,499.055179204584,1192.45291666667,495.842916666667,1203,1207,1177,1176,473,471,496,485,5
"6",1,6,NA,"dt-0.1ug",0,0,80058.3918151855,144850.778289795,523475.661499023,5672.38955307007,1094668.93453979,5969503.26303101,6758765.01159668,149556.904590607,255.395004272461,1261.5205078125,1574.32507324219,23.394998550415,26.9999694824219,294.000122070312,144,9.99999809265137,0.978798636092392,1.71694088084691,2.21898261921229,1.8345994892033,410.39501953125,836.5205078125,3112.32495117188,75.3949966430664,439.394989013672,2925.5205078125,3131.32495117188,247.395004272461,283.895006436828,513.655242162393,1856.29667198235,20.1148565711705,283.740003768739,1547.30514853059,1751.88310305772,38.765397768431,281.394989013672,1594.52062988281,1728.3251953125,31.394998550415,178.39501953125,283.5205078125,1146.32507324219,8.39499855041504,174.39501953125,283.5205078125,1146.32507324219,8.39499855041504,45.8201251794465,127.202925182202,477.051708710742,7.76399837220996,39.2789838555349,497.703113892167,280.465254156691,24.8347155425966,308.39501953125,1860.52038574219,1862.32507324219,44.3949966430664,230.058424730724,229.615022436491,229.65299726347,230.7549146078,549.279421127961,548.681956972224,548.101692943488,548.334136872638,230.503110419907,550.151373768792,222,226,241,238,561,556,514,558,6
"7",1,7,NA,"dt-0.1ug",0,0,166704.218078613,136702.837646484,440088.711669922,173226.21887207,5685920.90582275,3817189.88824463,6275909.12133789,6320595.93844604,1587.39501953125,1202.52062988281,2143.82507324219,1997.89489746094,664,296,285,539.000244140625,2.58709298871521,1.31902308072869,0.475804986800815,2.11384047669306,1686.39489746094,2517.52075195312,3709.32495117188,2159.39501953125,5068.3955078125,2958.5205078125,6391.32470703125,4106.39501953125,706.373805417853,579.249312061374,1864.78267656747,734.009402000298,2250.95839502088,1511.15989241672,2484.52459277034,2502.21533588521,2354.39501953125,1573.5205078125,2473.32495117188,2731.39501953125,280.39501953125,265.520477294922,1394.32495117188,135.395004272461,280.39501953125,265.520477294922,1394.32495117188,135.395004272461,368.488627794607,282.148862070818,427.490042563592,489.172371331361,975.296526324551,506.040568001121,571.225365295264,925.176078516532,2955.39501953125,1806.5205078125,2730.82495117188,3164.39501953125,203.266620047209,203.284451544955,203.84664012108,203.295612575032,653.031291468467,654.413193073205,655.06361646636,653.520713757659,204.024940617577,655.504750593824,198,202,214,192,644,652,664,637,7
"8",1,8,NA,"dt-0.1ug",0,0,161895.020187378,143775.655639648,309102.702514648,14774.0200996399,3805094.21903992,5091777.08566284,4231790.11480713,406328.263544083,671.39501953125,1156.5205078125,1086.32495117188,71.3949966430664,297.5,270,77.5000610351562,32.9999847412109,1.78161797822107,0.584472108249251,0.434030195896322,1.72210422784632,2215.39526367188,843.5205078125,1512.32507324219,321.39501953125,3878.39526367188,2812.5205078125,1598.32495117188,481.39501953125,586.576160099195,520.926288549451,1119.93732795162,53.5290583320286,1047.94663151747,1402.30710153204,1165.4613370441,111.905332840563,935.89501953125,1422.5205078125,1162.32507324219,99.3949966430664,197.395004272461,298.520477294922,848.325012207031,10.394998550415,197.395004272461,298.520477294922,842.324951171875,10.394998550415,397.773044288974,117.668573442108,129.788060903115,45.4288794264461,546.660890450034,436.489900924839,112.020769852323,59.6870771258026,1293.39489746094,1695.5205078125,1241.32507324219,140.39501953125,1323.82936417389,1324.9281313099,1325.08184018678,1323.78942579906,811.250847945748,811.801033690226,811.776130899918,811.819440895598,1325.5114293583,811.838061140182,1319,1310,1320,1307,816,812,818,803,8
"9",1,9,NA,"dt-0.1ug",0,0,83291.0219268799,145399.655761719,344305.703979492,196128.018180847,1659083.83566284,4892276.95483398,4868713.42956543,7544272.03404999,399.394989013672,1231.0205078125,1398.32507324219,1900.39489746094,94,287.5,109.999877929688,369.499877929688,1.53612194649746,0.672336400484945,0.507902252870676,2.08088689569317,759.39501953125,783.520446777344,1520.32495117188,2264.39501953125,1868.39489746094,2668.5205078125,2009.32507324219,3560.39501953125,301.779064952463,526.810346962749,1247.48443470831,710.608761524809,512.854354146164,1512.29581293168,1505.01187930925,2332.07790851622,489.39501953125,1589.5205078125,1522.32495117188,2632.39501953125,170.39501953125,317.520477294922,1027.32495117188,63.3949966430664,166.39501953125,317.520477294922,1027.32495117188,63.3949966430664,95.3776096268498,107.936118546604,109.598653296187,498.151220053341,190.015578696085,486.806371432844,160.779579067515,809.764201145217,589.395080566406,1836.7705078125,1621.32507324219,2904.39501953125,1314.70428037855,1315.63954158368,1315.37017559038,1314.58581651498,950.245600227747,950.987475460832,951.108394121953,949.700200912292,1315.39938176198,951.615455950541,1317,1328,1319,1328,953,957,939,957,9
"10",2,1,NA,"dt-0.1ug",0,0,143503.415939331,124740.178375244,371518.029052734,13062.4147758484,3509712.31684875,3281518.9581604,5299192.99755859,451785.391160965,727.39501953125,816.520446777344,1398.32507324219,79.3949966430664,239,117.999938964844,74.9998779296875,40.9999847412109,1.92313045476652,1.20652049306759,0.490403555234333,1.33930569635566,1560.39501953125,1336.5205078125,1753.32507324219,205.395004272461,2484.39526367188,1476.5205078125,1843.3251953125,519.39501953125,518.062873427188,450.325553701242,1341.22032149002,47.156732042774,973.297924805534,910.01635001675,1469.54880686594,125.287130105648,955.394958496094,929.520568847656,1473.32495117188,117.394996643066,208.39501953125,196.5205078125,1097.32507324219,14.394998550415,208.39501953125,196.5205078125,1094.32507324219,14.394998550415,301.146515779618,237.177466698741,117.105277503597,32.8163204885784,373.591973518711,223.608740717533,112.816147863864,65.3639639780062,1207.89501953125,1053.5205078125,1547.82501220703,161.395004272461,294.389326614595,293.374473231554,292.734534732037,293.783371558153,49.0167545955625,49.7562752002839,49.3721752309444,48.7143880368322,292.466999445369,48.961175818081,301,304,293,285,80,37,70,26,1
