,Condition,Total_DAPI_Intensity,Mean_PCNA_Intensity,Mean_γH2AX_intensity
1,-DarT,3063312,81.2212441314554,15.9536384976526
2,-DarT,3680294,646.523777173913,46.7180706521739
3,-DarT,3276283,110.198778456413,20.9355913381455
4,-DarT,6413771,692.096342902084,20.8183248132127
5,-DarT,5383919,608.964612822648,28.6977518734388
6,-DarT,2702761,427.135395189003,26.2948453608248
7,-DarT,3358182,398.01742344245,17.9815205913411
8,-DarT,3248574,112.080361627323,23.2114515318935
9,-DarT,3165544,347.553054662379,27.7311897106109
10,-DarT,6630317,281.060351413293,33.2662337662338
11,-DarT,3800437,627.402643171806,16.8960352422907
12,-DarT,3307190,87.5526992287918,15.7287917737789
13,-DarT,3272426,87.075,11.5838235294118
14,-DarT,5246220,449.991693037975,42.3674841772152
15,-DarT,3496635,80.7806774014437,20.5147140477513
16,-DarT,3174312,70.117231638418,22.3601694915254
17,-DarT,7173292,318.653488372093,46.3945736434109
18,-DarT,3381890,92.1753351206435,21.7646112600536
19,-DarT,3425893,117.733840304183,18.520278833967
20,-DarT,3414491,124.22848200313,48.3176838810642
21,-DarT,7112929,803.728,44.2644210526316
22,-DarT,5713574,562.654381654382,25.2514332514332
23,-DarT,3479351,80.2670682730924,36.5502008032128
24,-DarT,5749560,435.202643171806,48.9855826992391
25,-DarT,3493996,94.1852323360916,30.6791852323361
26,-DarT,3505729,94.9494123658661,15.6101175268268
27,-DarT,3344692,393.887562189055,12.3706467661692
28,-DarT,7329846,628.311746315319,127.671728450201
29,-DarT,6544421,618.78828229028,53.5703506435863
30,-DarT,3687928,128.69735553379,60.6405484818805
31,-DarT,3327940,118.36432748538,13.7608187134503
32,-DarT,4315578,756.46547314578,34.5447570332481
33,-DarT,4013997,462.783044058745,46.4018691588785
34,-DarT,7556146,98.6051938276252,23.6055701919458
35,-DarT,7275445,71.2322191505403,21.1985423473234
36,-DarT,3682958,138.521413276231,18.9978586723769
37,-DarT,3769174,717.139154929577,39.4529577464789
38,-DarT,7777387,601.955128205128,231.923076923077
39,-DarT,3423698,90.0984496124031,56.5705426356589
40,-DarT,5542617,510.939029448362,36.0779759435919
41,-DarT,3408588,329.404027690371,35.2410320956577
42,-DarT,4527312,849.697337962963,29.599537037037
43,-DarT,3527584,77.1199273167778,15.0987280436099
44,-DarT,3521090,78.0666173205034,9.92894152479644
45,-DarT,3527354,83.5970873786408,12.9687933425797
46,-DarT,3212122,92.6499395405078,53.9292623941959
47,-DarT,3378354,77.8539042821159,21.918765743073
48,-DarT,6728498,425.466826538769,45.6686650679457
49,-DarT,3241412,296.938177182919,28.2466539196941
50,-DarT,5247617,500.522466960352,48.9176211453745
51,-DarT,4707767,80.5809007506256,19.2885738115096
52,-DarT,3201210,75.8083941605839,28.2487834549878
53,-DarT,3015290,70.8862660944206,24.5872675250358
54,-DarT,6656953,76.4972200158857,26.9131585914747
55,-DarT,3068613,88.9469808541974,35.2474226804124
56,-DarT,6830339,90.8448578448579,28.2758862758863
57,-DarT,3202663,83.7676912080058,124.240171551108
58,-DarT,6670637,427.43682039745,44.0753655793026
59,-DarT,6713933,273.309689213894,123.087385740402
60,-DarT,3453084,346.885681293303,58.9722863741339
61,-DarT,3221708,92.2613810741688,15.018925831202
62,-DarT,7187856,88.9571574294457,17.9853791227474
63,-DarT,5923059,683.681624758221,186.971760154739
64,-DarT,7201226,86.655737704918,24.6987704918033
65,-DarT,3234234,85.6726579520697,19.9384531590414
66,-DarT,6315170,802.869667318982,21.453228962818
67,-DarT,3272090,89.5929933024214,28.6115404430706
68,-DarT,6815310,79.3592993777368,33.1627103019129
69,-DarT,3369113,79.1254103742614,17.7570584372948
70,-DarT,3433394,84.6226203807391,25.1399776035834
71,-DarT,3297071,100.099140401146,158.999426934097
72,-DarT,7179631,449.227732793522,28.7823886639676
73,-DarT,3478958,117.144563918758,54.8237753882915
74,-DarT,7018866,95.1930184804928,37.7926078028748
75,-DarT,3289722,94.0088315217391,27.0794836956522
76,-DarT,6975981,90.8846761453397,20.4206161137441
77,-DarT,6100985,315.866209262436,26.7327615780446
78,-DarT,6216955,565.684097728247,40.9189884269181
79,-DarT,4635372,496.429549114332,34.5024154589372
80,-DarT,7021187,87.3654401154402,16.9574314574315
81,-DarT,6885236,96.4741833508957,34.1480505795574
82,-DarT,7154831,83.8179782469609,20.8384516954575
83,-DarT,5318703,341.612276612277,25.964257964258
84,-DarT,7205267,77.6273885350319,13.7012738853503
85,-DarT,5310627,407.598058252427,27.7646601941748
86,-DarT,4103009,555.526061776062,22.7625482625483
87,-DarT,3410298,84.4621301775148,32.2970414201183
88,-DarT,3442605,276.441340782123,15.9263585576435
89,-DarT,3198157,215.737131434283,24.5052473763118
90,-DarT,7101412,83.0359489756474,27.3668341708543
91,-DarT,3649859,376.989626556017,16.3552904564315
92,-DarT,5029616,382.572363636364,27.8927272727273
93,-DarT,6002620,572.316475095785,33.3183908045977
94,-DarT,2943469,70.1044965167828,11.4173527549082
95,-DarT,2923612,73.1913043478261,17.3460869565217
96,-DarT,3072787,74.1746122917863,11.5720850086157
97,-DarT,6409953,76.950737144912,18.7551240560949
98,-DarT,4644613,275.069051321928,58.4852255054432
99,-DarT,3465313,341.014263074485,26.1447437929213
100,-DarT,3041599,83.2767732962448,38.0667593880389
101,-DarT,3863099,76.71552138395,56.5593464680442
102,-DarT,6521591,83.5581260844418,16.7137073452863
103,-DarT,3047971,84.561421319797,102.327918781726
104,-DarT,3173755,77.3717217787913,24.2924743443558
105,-DarT,5607019,376.560502692998,21.2165170556553
106,-DarT,6158089,401.853103195005,27.6474476680132
107,-DarT,6315366,424.393965150871,42.4938376540586
108,-DarT,2183001,83.6390101892285,15.2110625909752
109,-DarT,4269283,375.404237288136,24.1766949152542
110,-DarT,6763481,86.5726898175398,18.1927604473219
111,-DarT,3470348,326.511363636364,22.5180785123967
112,-DarT,6849651,88.7526191280838,26.2578573842514
113,-DarT,3331019,233.13843556556,13.2915025323579
114,-DarT,3152232,314.833893745797,16.0766644250168
115,-DarT,3554988,96.2655520995335,13.2468895800933
116,-DarT,3267354,86.7094882729211,29.2324093816631
117,-DarT,6914159,85.3482496194825,22.4572298325723
118,-DarT,5495461,421.407899734144,45.4204329661983
119,-DarT,3412217,364.702514713751,22.207062600321
120,-DarT,3435775,85.2151029748284,18.7568649885584
121,-DarT,7149309,296.186971500157,25.8781709990604
122,-DarT,6410817,383.564277132559,23.6852222667201
123,-DarT,3347027,99.36875,30.0430555555556
124,-DarT,3498690,84.3640093786636,127.337631887456
125,-DarT,5880858,460.829939264023,18.9210432297249
126,-DarT,3408847,89.1977829638273,31.5210035005834
127,-DarT,7660499,93.9635640940709,15.6555150712156
128,-DarT,3189161,93.6097883597884,81.3280423280423
129,-DarT,6839057,87.2724113968034,20.8648366921473
130,-DarT,5245216,414.202766654532,46.2522752093193
131,-DarT,5575228,327.320247295209,31.3718701700155
132,-DarT,5853566,316.533624454148,18.0835516739447
133,-DarT,4368808,270.688290086494,13.3822355289421
134,-DarT,6901528,200.10325770797,17.8275159976731
135,-DarT,3416672,145.892299687825,17.2793964620187
136,-DarT,3330406,93.2944264943458,35.1288368336026
137,-DarT,3207662,245.176163549369,23.0465419747716
138,-DarT,3517415,244.210134128167,18.5588673621461
139,-DarT,3570046,222.208543867708,18.9095084979329
140,-DarT,6688539,128.415830226556,17.3834241468311
141,-DarT,4226495,354.428626993388,65.9050952936601
142,-DarT,3040166,79.2110969387755,41.2882653061224
143,-DarT,3591862,278.536931818182,22.2817234848485
144,-DarT,7109005,80.2380692664303,15.2767930188165
145,-DarT,5336398,381.171179039301,22.0890829694323
146,-DarT,5224019,447.222455403987,22.4403637635537
147,-DarT,3285396,72.2269263336156,9.20067739204063
148,-DarT,3376019,86.141935483871,15.3548387096774
149,-DarT,4933139,353.79488066413,35.8391560013836
150,-DarT,3461998,87.4330966684871,17.1048607318405
151,-DarT,3420197,87.1928120446819,16.0077707625061
152,-DarT,6157899,316.284517426274,43.4041554959786
153,-DarT,3208854,75.8529411764706,11.0925925925926
154,-DarT,3500041,88.4521091811414,11.6898263027295
155,-DarT,3536033,91.9990654205608,30.6644859813084
156,-DarT,3448616,92.9829914957479,11.1795897948975
157,-DarT,4970472,426.815123634273,26.0422656699253
158,-DarT,3523772,94.7175572519084,19.510905125409
159,-DarT,3605131,367.008750607681,21.917841516772
160,-DarT,3598097,288.893037336024,15.8678102926337
161,-DarT,6976614,91.0195956454121,23.8855365474339
162,-DarT,4820221,528.438983756768,38.2661391087047
163,-DarT,3516306,94.0404984423676,21.4132917964694
164,-DarT,3224040,576.811754684838,42.1166950596252
165,-DarT,5940072,392.724544841537,35.5981119352664
166,-DarT,7117688,549.398516783763,389.144418423107
167,-DarT,3171483,91.1774281063483,32.6299511665762
168,-DarT,3392114,97.2729449321628,30.9592976855547
169,-DarT,3328267,76.75,212.691919191919
170,-DarT,6537440,71.8990092681368,18.7903483541068
171,-DarT,3967098,506.763420427553,20.9377672209026
172,-DarT,3642545,361.108660130719,24.8415032679738
173,-DarT,6109072,409.328723824575,58.8909521928092
174,-DarT,3222539,78.7887725975262,101.570884871551
175,-DarT,3108601,82.0249336870027,27.8302387267904
176,-DarT,3194365,90.4581395348837,15.1911627906977
177,-DarT,3283005,301.782245430809,22.7702349869452
178,-DarT,6770707,113.630993745657,19.448575399583
179,-DarT,4573772,595.374638379942,83.8953712632594
180,-DarT,6540325,139.240620155039,24.1792248062015
181,-DarT,7523887,508.239302694136,289.964870575806
182,-DarT,3398650,377.119824646858,20.130540672187
183,-DarT,3339041,91.9840728100114,70.3498293515358
184,-DarT,3245213,85.6703296703297,33.8703296703297
185,-DarT,3470813,312.395192845165,59.0715483510341
186,-DarT,3471529,93.153605015674,97.3586206896552
187,-DarT,6897392,113.792866941015,159.719135802469
188,-DarT,3358928,89.8732311320755,56.4310141509434
189,-DarT,6812508,89.1883320281911,20.518010963195
190,-DarT,5464516,364.11155859847,17.6371325010068
191,-DarT,4428117,469.447687642153,28.9169825625474
192,-DarT,6900113,92.9879203395365,25.390466862553
193,-DarT,6677971,70.7798013245033,14.1092715231788
194,-DarT,6988109,81.489932885906,15.0137583892617
195,-DarT,4024626,441.930600649351,20.7597402597403
196,-DarT,3794099,469.313186813187,46.2097902097902
197,-DarT,3255707,75.6144170295114,31.463473633285
198,-DarT,4991155,468.642254471819,24.4819439757003
199,-DarT,6504803,425.188773805546,24.4721015703308
200,-DarT,6532268,393.640380952381,30.5291428571429
201,-DarT,3217903,85.5592493297587,17.8160857908847
202,-DarT,2623063,307.854862119013,34.9760522496371
203,-DarT,4077142,479.401103565365,20.3374363327674
204,-DarT,3744988,421.265619154508,23.2439206883651
205,-DarT,3306873,84.4184076792773,33.931112365895
206,-DarT,3312438,87.5160932297447,16.8718091009989
207,-DarT,3181001,71.284516489659,23.915036333147
208,-DarT,3034220,75.942509673853,27.7285793255942
209,-DarT,3200869,76.2033067973056,46.6521739130435
210,-DarT,6847630,81.3711217183771,22.1205250596659
